[chain] waiting for phase-1 inventory to complete (Fri Jul 24 02:54:34 WEST 2026)
[chain] inventory complete: 9861 charts. unique images:
charts inventoried : 9861 (9826 ok)
unique images      : 8397
[chain] launching phase-2 CVE scan (Fri Jul 24 03:50:16 WEST 2026)
cve: 8397 unique images, 0 done, 8397 to scan (6 workers)
  3530/8397 (5016/h, ETA 1.0h)
  3540/8397 (5017/h, ETA 1.0h)
  3550/8397 (5020/h, ETA 1.0h)
  3560/8397 (5018/h, ETA 1.0h)
  3570/8397 (5025/h, ETA 1.0h)
  3580/8397 (5026/h, ETA 1.0h)
  3590/8397 (5028/h, ETA 1.0h)
  3600/8397 (5026/h, ETA 1.0h)
  3610/8397 (5028/h, ETA 1.0h)
  3620/8397 (5036/h, ETA 0.9h)
  3630/8397 (5036/h, ETA 0.9h)
  3640/8397 (5038/h, ETA 0.9h)
  3650/8397 (5040/h, ETA 0.9h)
  3660/8397 (5042/h, ETA 0.9h)
  3670/8397 (5044/h, ETA 0.9h)
  3680/8397 (5045/h, ETA 0.9h)
  3690/8397 (5045/h, ETA 0.9h)
  3700/8397 (5054/h, ETA 0.9h)
  3710/8397 (5054/h, ETA 0.9h)
  3720/8397 (5058/h, ETA 0.9h)
  3730/8397 (5059/h, ETA 0.9h)
  3740/8397 (5061/h, ETA 0.9h)
  3750/8397 (5065/h, ETA 0.9h)
  3760/8397 (5069/h, ETA 0.9h)
  3770/8397 (5068/h, ETA 0.9h)
  3780/8397 (5068/h, ETA 0.9h)
  3790/8397 (5070/h, ETA 0.9h)
  3800/8397 (5074/h, ETA 0.9h)
  3810/8397 (5076/h, ETA 0.9h)
  3820/8397 (5077/h, ETA 0.9h)
  3830/8397 (5079/h, ETA 0.9h)
  3840/8397 (5080/h, ETA 0.9h)
  3850/8397 (5085/h, ETA 0.9h)
  3860/8397 (5086/h, ETA 0.9h)
  3870/8397 (5088/h, ETA 0.9h)
  3880/8397 (5089/h, ETA 0.9h)
  3890/8397 (5091/h, ETA 0.9h)
  3900/8397 (5087/h, ETA 0.9h)
  3910/8397 (5100/h, ETA 0.9h)
  3920/8397 (5094/h, ETA 0.9h)
  3930/8397 (5098/h, ETA 0.9h)
  3940/8397 (5104/h, ETA 0.9h)
  3950/8397 (5110/h, ETA 0.9h)
  3960/8397 (5112/h, ETA 0.9h)
  3970/8397 (5113/h, ETA 0.9h)
  3980/8397 (5113/h, ETA 0.9h)
  3990/8397 (5115/h, ETA 0.9h)
  4000/8397 (5118/h, ETA 0.9h)
  4010/8397 (5114/h, ETA 0.9h)
  4020/8397 (5114/h, ETA 0.9h)
  4030/8397 (5109/h, ETA 0.9h)
  4040/8397 (5112/h, ETA 0.9h)
  4050/8397 (5109/h, ETA 0.9h)
  4060/8397 (5118/h, ETA 0.8h)
  4070/8397 (5131/h, ETA 0.8h)
  4080/8397 (5139/h, ETA 0.8h)
  4090/8397 (5138/h, ETA 0.8h)
  4100/8397 (5138/h, ETA 0.8h)
  4110/8397 (5132/h, ETA 0.8h)
  4120/8397 (5133/h, ETA 0.8h)
  4130/8397 (5133/h, ETA 0.8h)
  4140/8397 (5136/h, ETA 0.8h)
  4150/8397 (5132/h, ETA 0.8h)
  4160/8397 (5132/h, ETA 0.8h)
  4170/8397 (5130/h, ETA 0.8h)
  4180/8397 (5132/h, ETA 0.8h)
  4190/8397 (5133/h, ETA 0.8h)
  4200/8397 (5131/h, ETA 0.8h)
  4210/8397 (5129/h, ETA 0.8h)
  4220/8397 (5133/h, ETA 0.8h)
  4230/8397 (5127/h, ETA 0.8h)
  4240/8397 (5126/h, ETA 0.8h)
  4250/8397 (5128/h, ETA 0.8h)
  4260/8397 (5133/h, ETA 0.8h)
  4270/8397 (5133/h, ETA 0.8h)
  4280/8397 (5130/h, ETA 0.8h)
  4290/8397 (5130/h, ETA 0.8h)
  4300/8397 (5131/h, ETA 0.8h)
  4310/8397 (5131/h, ETA 0.8h)
  4320/8397 (5128/h, ETA 0.8h)
  4330/8397 (5125/h, ETA 0.8h)
  4340/8397 (5124/h, ETA 0.8h)
  4350/8397 (5125/h, ETA 0.8h)
  4360/8397 (5121/h, ETA 0.8h)
  4370/8397 (5115/h, ETA 0.8h)
  4380/8397 (5122/h, ETA 0.8h)
  4390/8397 (5122/h, ETA 0.8h)
  4400/8397 (5123/h, ETA 0.8h)
  4410/8397 (5121/h, ETA 0.8h)
  4420/8397 (5124/h, ETA 0.8h)
  4430/8397 (5123/h, ETA 0.8h)
  4440/8397 (5124/h, ETA 0.8h)
  4450/8397 (5124/h, ETA 0.8h)
  4460/8397 (5123/h, ETA 0.8h)
  4470/8397 (5127/h, ETA 0.8h)
  4480/8397 (5125/h, ETA 0.8h)
  4490/8397 (5120/h, ETA 0.8h)
  4500/8397 (5117/h, ETA 0.8h)
  4510/8397 (5121/h, ETA 0.8h)
  4520/8397 (5119/h, ETA 0.8h)
  4530/8397 (5121/h, ETA 0.8h)
  4540/8397 (5121/h, ETA 0.8h)
  4550/8397 (5123/h, ETA 0.8h)
  4560/8397 (5124/h, ETA 0.7h)
  4570/8397 (5120/h, ETA 0.7h)
  4580/8397 (5121/h, ETA 0.7h)
  4590/8397 (5120/h, ETA 0.7h)
  4600/8397 (5122/h, ETA 0.7h)
  4610/8397 (5123/h, ETA 0.7h)
  4620/8397 (5123/h, ETA 0.7h)
  4630/8397 (5126/h, ETA 0.7h)
  4640/8397 (5128/h, ETA 0.7h)
  4650/8397 (5128/h, ETA 0.7h)
  4660/8397 (5130/h, ETA 0.7h)
  4670/8397 (5132/h, ETA 0.7h)
  4680/8397 (5132/h, ETA 0.7h)
  4690/8397 (5136/h, ETA 0.7h)
  4700/8397 (5138/h, ETA 0.7h)
  4710/8397 (5136/h, ETA 0.7h)
  4720/8397 (5136/h, ETA 0.7h)
  4730/8397 (5135/h, ETA 0.7h)
  4740/8397 (5136/h, ETA 0.7h)
  4750/8397 (5136/h, ETA 0.7h)
  4760/8397 (5132/h, ETA 0.7h)
  4770/8397 (5133/h, ETA 0.7h)
  4780/8397 (5133/h, ETA 0.7h)
  4790/8397 (5135/h, ETA 0.7h)
  4800/8397 (5135/h, ETA 0.7h)
  4810/8397 (5137/h, ETA 0.7h)
  4820/8397 (5140/h, ETA 0.7h)
  4830/8397 (5140/h, ETA 0.7h)
  4840/8397 (5141/h, ETA 0.7h)
  4850/8397 (5137/h, ETA 0.7h)
  4860/8397 (5136/h, ETA 0.7h)
  4870/8397 (5137/h, ETA 0.7h)
  4880/8397 (5133/h, ETA 0.7h)
  4890/8397 (5131/h, ETA 0.7h)
  4900/8397 (5134/h, ETA 0.7h)
  4910/8397 (5133/h, ETA 0.7h)
  4920/8397 (5131/h, ETA 0.7h)
  4930/8397 (5132/h, ETA 0.7h)
  4940/8397 (5132/h, ETA 0.7h)
  4950/8397 (5135/h, ETA 0.7h)
  4960/8397 (5134/h, ETA 0.7h)
  4970/8397 (5134/h, ETA 0.7h)
  4980/8397 (5130/h, ETA 0.7h)
  4990/8397 (5130/h, ETA 0.7h)
  5000/8397 (5130/h, ETA 0.7h)
  5010/8397 (5126/h, ETA 0.7h)
  5020/8397 (5127/h, ETA 0.7h)
  5030/8397 (5127/h, ETA 0.7h)
  5040/8397 (5126/h, ETA 0.7h)
  5050/8397 (5126/h, ETA 0.7h)
  5060/8397 (5127/h, ETA 0.7h)
  5070/8397 (5133/h, ETA 0.6h)
  5080/8397 (5130/h, ETA 0.6h)
  5090/8397 (5129/h, ETA 0.6h)
  5100/8397 (5126/h, ETA 0.6h)
  5110/8397 (5125/h, ETA 0.6h)
  5120/8397 (5126/h, ETA 0.6h)
  5130/8397 (5121/h, ETA 0.6h)
  5140/8397 (5120/h, ETA 0.6h)
  5150/8397 (5125/h, ETA 0.6h)
  5160/8397 (5122/h, ETA 0.6h)
  5170/8397 (5122/h, ETA 0.6h)
  5180/8397 (5127/h, ETA 0.6h)
  5190/8397 (5130/h, ETA 0.6h)
  5200/8397 (5140/h, ETA 0.6h)
  5210/8397 (5147/h, ETA 0.6h)
  5220/8397 (5156/h, ETA 0.6h)
  5230/8397 (5159/h, ETA 0.6h)
  5240/8397 (5164/h, ETA 0.6h)
  5250/8397 (5167/h, ETA 0.6h)
  5260/8397 (5167/h, ETA 0.6h)
  5270/8397 (5165/h, ETA 0.6h)
  5280/8397 (5170/h, ETA 0.6h)
  5290/8397 (5171/h, ETA 0.6h)
  5300/8397 (5172/h, ETA 0.6h)
  5310/8397 (5173/h, ETA 0.6h)
