repo_url,repo_name,chart_path,error
https://github.com/openshift-helm-charts/sandbox,openshift-helm-charts/sandbox,D:\helm_clones_github\openshift-helm-charts__sandbox\charts\redhat\redhat\redhat-mysql-persistent\0.0.2\src,"Getting updates for unmanaged Helm repositories...
...Unable to get an update from the ""https://github.com/openshift-helm-charts/charts"" chart repository:
	failed to fetch https://github.com/openshift-helm-charts/charts/index.yaml : 404 Not Found
Error: no cached repository for helm-manager-e8a50bb8edab0b7411123ba1d6ccffca210a3cb9ffb119170c254ad301b6b826 found. (try 'helm repo update'): open C:\Users\miabs\AppData\Local\Temp\helm\repository\helm-manager-e8a50bb8edab0b7411123ba1d6ccffca210a3cb9ffb119170c254ad301b6b826-index.yaml: O sistema não conseguiu localizar o ficheiro especificado."
https://github.com/oracle-cne/catalog,oracle-cne/catalog,D:\helm_clones_github\oracle-cne__catalog\charts\metallb-0.15.2,Error: no repository definition for https://metallb.github.io/frr-k8s. Please add the missing repos via 'helm repo add'
https://github.com/otterscale/charts,otterscale/charts,D:\helm_clones_github\otterscale__charts\charts\otterscale,"Error: no repository definition for https://codecentric.github.io/helm-charts, https://valkey.io/valkey-helm/, https://helm.goharbor.io. Please add the missing repos via 'helm repo add'"
https://github.com/platform-mesh/helm-charts,platform-mesh/helm-charts,D:\helm_clones_github\platform-mesh__helm-charts\charts\common\test-chart,"Saving 1 charts
Save error occurred:  can't get a valid version for dependency common
Error: can't get a valid version for dependency common"
https://github.com/sdelrio/homelab-k3s,sdelrio/homelab-k3s,D:\helm_clones_github\sdelrio__homelab-k3s\system\internal\postgres-operator,"Getting updates for unmanaged Helm repositories...
...Successfully got an update from the ""https://opensource.zalando.com/postgres-operator/charts/postgres-operator"" chart repository
Error: can't get a valid version for 1 subchart(s): ""postgres-operator"" (repository ""https://opensource.zalando.com/postgres-operator/charts/postgres-operator"", version ""1.10.0""). Make sure a matching chart version exists in the repo, or change the version constraint in Chart.yaml"
https://github.com/tetratelabs/charts,tetratelabs/charts,D:\helm_clones_github\tetratelabs__charts\charts\demos\istio-monitoring-demo,"Error: no repository definition for https://grafana.github.io/helm-charts, https://prometheus-community.github.io/helm-charts, https://prometheus-community.github.io/helm-charts. Please add the missing repos via 'helm repo add'"
https://github.com/thomaswyrick/xdm-helm-chart,thomaswyrick/xdm-helm-chart,D:\helm_clones_github\thomaswyrick__xdm-helm-chart,Error: the lock file (Chart.lock) is out of sync with the dependencies file (Chart.yaml). Please update the dependencies with 'helm dependency update'
https://github.com/vineethvijay/prox-k8s-lab,vineethvijay/prox-k8s-lab,D:\helm_clones_github\vineethvijay__prox-k8s-lab\helm\charts\nfs-hdd-provisioner,Error: no repository definition for https://kubernetes-sigs.github.io/nfs-subdir-external-provisioner/. Please add the missing repos via 'helm repo add'
https://github.com/2694484453/helm-repo,2694484453/helm-repo,D:\helm_clones_github\2694484453__helm-repo\kube-prometheus-stack,"Error: no repository definition for https://prometheus-community.github.io/helm-charts, https://prometheus-community.github.io/helm-charts, https://grafana.github.io/helm-charts, https://prometheus-community.github.io/helm-charts. Please add the missing repos via 'helm repo add'"
https://github.com/Chinaxiaoming666/kube-prometheus-stack,Chinaxiaoming666/kube-prometheus-stack,D:\helm_clones_github\Chinaxiaoming666__kube-prometheus-stack,"Error: no repository definition for https://charts.helm.sh/stable, https://prometheus-community.github.io/helm-charts, https://grafana.github.io/helm-charts. Please add the missing repos via 'helm repo add'"
https://github.com/DenisMarta/prodject1,DenisMarta/prodject1,D:\helm_clones_github\DenisMarta__prodject1\deployment\kubernetes\mysql-helm-chart,Error: no repository definition for https://charts.bitnami.com/bitnami. Please add the missing repos via 'helm repo add'
https://github.com/HonourHealth/JavaSpringbootRESTMicroservices,HonourHealth/JavaSpringbootRESTMicroservices,D:\helm_clones_github\HonourHealth__JavaSpringbootRESTMicroservices\springboot-microservices-springcloud-docker-kubernetes-helm\helm\bank-services\accounts,Error: the lock file (Chart.lock) is out of sync with the dependencies file (Chart.yaml). Please update the dependencies with 'helm dependency update'
https://github.com/Kapil-Bhalodiya/E-Commerce,Kapil-Bhalodiya/E-Commerce,D:\helm_clones_github\Kapil-Bhalodiya__E-Commerce\infra\addons\alloy,Error: no repository definition for https://grafana.github.io/helm-charts. Please add the missing repos via 'helm repo add'
https://github.com/Kapil-Bhalodiya/E-commerce-Platform,Kapil-Bhalodiya/E-commerce-Platform,D:\helm_clones_github\Kapil-Bhalodiya__E-commerce-Platform\infra\addons\cert-manager,Error: no repository definition for https://charts.jetstack.io. Please add the missing repos via 'helm repo add'
https://github.com/PRO-Robotech/helmfile-manifests,PRO-Robotech/helmfile-manifests,D:\helm_clones_github\PRO-Robotech__helmfile-manifests\charts\argoproj\argo-cd-8.0.9\argo-cd,Error: the lock file (Chart.lock) is out of sync with the dependencies file (Chart.yaml). Please update the dependencies with 'helm dependency update'
https://github.com/PilotDataPlatform/helm-charts,PilotDataPlatform/helm-charts,D:\helm_clones_github\PilotDataPlatform__helm-charts\argo-cd-917,Error: no repository definition for https://dandydeveloper.github.io/charts/. Please add the missing repos via 'helm repo add'
https://github.com/SmartX-Team/smartx-k8s,SmartX-Team/smartx-k8s,D:\helm_clones_github\SmartX-Team__smartx-k8s\apps\exdns-2,Error: cannot load Chart.yaml: error unmarshaling JSON: while decoding JSON: json: cannot unmarshal string into Go value of type v2.Metadata
https://github.com/TSMC-NYCU-LAB-13/infrastructures,TSMC-NYCU-LAB-13/infrastructures,D:\helm_clones_github\TSMC-NYCU-LAB-13__infrastructures\argo\argo-cd,Error: no repository definition for https://dandydeveloper.github.io/charts/. Please add the missing repos via 'helm repo add'
https://github.com/adstanley/archive,adstanley/archive,D:\helm_clones_github\adstanley__archive\scale-catalog\incubator\archivebox\0.7.2,"Saving 1 charts
Downloading common from repo oci://tccr.io/truecharts
Save error occurred:  could not download oci://tccr.io/truecharts/common: failed to perform ""FetchReference"" on source: tccr.io/truecharts/common:17.2.30: not found
Error: could not download oci://tccr.io/truecharts/common: failed to perform ""FetchReference"" on source: tccr.io/truecharts/common:17.2.30: not found"
https://github.com/azaurus1/homelab,azaurus1/homelab,D:\helm_clones_github\azaurus1__homelab\apps\api-coverage-server,"Getting updates for unmanaged Helm repositories...
...Unable to get an update from the ""https://chartmuseum.azaurus.dev/"" chart repository:
	failed to fetch https://chartmuseum.azaurus.dev/index.yaml : 530 <none>
Error: no cached repository for helm-manager-23f58962e8ae66ac9eadc10ae209dc5cab99e97e33882fa9df1e156284414aea found. (try 'helm repo update'): open C:\Users\miabs\AppData\Local\Temp\helm\repository\helm-manager-23f58962e8ae66ac9eadc10ae209dc5cab99e97e33882fa9df1e156284414aea-index.yaml: O sistema não conseguiu localizar o ficheiro especificado."
https://github.com/devops-360-online/go-with-me-ml,devops-360-online/go-with-me-ml,D:\helm_clones_github\devops-360-online__go-with-me-ml\infrastructure\kubernetes\bento,"Error: no repository definition for https://warpstreamlabs.github.io/bento-helm-chart, https://warpstreamlabs.github.io/bento-helm-chart, https://warpstreamlabs.github.io/bento-helm-chart. Please add the missing repos via 'helm repo add'"
https://github.com/dm3drummer/arducharts,dm3drummer/arducharts,D:\helm_clones_github\dm3drummer__arducharts\configs\schema\ahrs,"Error: validation: chart.metadata.version ""schema"" is invalid"
https://github.com/epoch8/helm-charts,epoch8/helm-charts,D:\helm_clones_github\epoch8__helm-charts\examples\multi-simple-app,"Saving 4 charts
Save error occurred:  can't get a valid version for dependency simple-app
Error: can't get a valid version for dependency simple-app"
https://github.com/flashiam12/strategic-next-best-offer,flashiam12/strategic-next-best-offer,D:\helm_clones_github\flashiam12__strategic-next-best-offer\dashboard\dependencies\loki,"Error: no repository definition for https://charts.min.io/, https://grafana.github.io/helm-charts. Please add the missing repos via 'helm repo add'"
https://github.com/hey101/scale-catalog,hey101/scale-catalog,D:\helm_clones_github\hey101__scale-catalog\incubator\archivebox\0.7.2,"Saving 1 charts
Downloading common from repo oci://tccr.io/truecharts
Save error occurred:  could not download oci://tccr.io/truecharts/common: failed to perform ""FetchReference"" on source: tccr.io/truecharts/common:17.5.1: not found
Error: could not download oci://tccr.io/truecharts/common: failed to perform ""FetchReference"" on source: tccr.io/truecharts/common:17.5.1: not found"
https://github.com/highmobility/helm-charts,highmobility/helm-charts,D:\helm_clones_github\highmobility__helm-charts\examples\sample-app\helm-web,"Saving 1 charts
Save error occurred:  can't get a valid version for dependency hm-basic-webapp
Error: can't get a valid version for dependency hm-basic-webapp"
https://github.com/hmcts/hmcts-charts,hmcts/hmcts-charts,D:\helm_clones_github\hmcts__hmcts-charts\stable\aac-manage-case-assignment,"Getting updates for unmanaged Helm repositories...
...Successfully got an update from the ""https://helm.elastic.co"" chart repository
Saving 4 charts
Downloading java from repo oci://hmctsprod.azurecr.io/helm
Save error occurred:  could not download oci://hmctsprod.azurecr.io/helm/java: failed to perform ""FetchReference"" on source: GET ""https://hmctsprod.azurecr.io/v2/helm/java/manifests/5.3.0"": GET ""https://hmctsprod.azurecr.io/oauth2/token?scope=repository%3Ahelm%2Fjava%3Apull&service=hmctsprod.azurecr.io"": response status code 401: unauthorized: authentication required, visit https://aka.ms/acr/authorization for more information. CorrelationId: 46eab12f-4b7c-42e6-af30-f7c8865fbb3b
Error: could not download oci://hmctsprod.azurecr.io/helm/java: failed to perform ""FetchReference"" on source: GET ""https://hmctsprod.azurecr.io/v2/helm/java/manifests/5.3.0"": GET ""https://hmctsprod.azurecr.io/oauth2/token?scope=repository%3Ahelm%2Fjava%3Apull&service=hmctsprod.azurecr.io"": response status code 401: unauthorized: authentication required, visit https://aka.ms/acr/authorization for more information. CorrelationId: 46eab12f-4b7c-42e6-af30-f7c8865fbb3b"
https://github.com/hmcts/probate-frontend,hmcts/probate-frontend,D:\helm_clones_github\hmcts__probate-frontend\charts\probate-frontend,"Saving 2 charts
Downloading nodejs from repo oci://hmctsprod.azurecr.io/helm
Save error occurred:  could not download oci://hmctsprod.azurecr.io/helm/nodejs: failed to perform ""FetchReference"" on source: GET ""https://hmctsprod.azurecr.io/v2/helm/nodejs/manifests/3.2.1"": GET ""https://hmctsprod.azurecr.io/oauth2/token?scope=repository%3Ahelm%2Fnodejs%3Apull&service=hmctsprod.azurecr.io"": response status code 401: unauthorized: authentication required, visit https://aka.ms/acr/authorization for more information. CorrelationId: 6316736e-9d81-4ccb-8adb-3c3e0792e1eb
Error: could not download oci://hmctsprod.azurecr.io/helm/nodejs: failed to perform ""FetchReference"" on source: GET ""https://hmctsprod.azurecr.io/v2/helm/nodejs/manifests/3.2.1"": GET ""https://hmctsprod.azurecr.io/oauth2/token?scope=repository%3Ahelm%2Fnodejs%3Apull&service=hmctsprod.azurecr.io"": response status code 401: unauthorized: authentication required, visit https://aka.ms/acr/authorization for more information. CorrelationId: 6316736e-9d81-4ccb-8adb-3c3e0792e1eb"
https://github.com/iamkhattar/homelab,iamkhattar/homelab,D:\helm_clones_github\iamkhattar__homelab\cluster\core\cert-manager,Error: no repository definition for https://charts.jetstack.io. Please add the missing repos via 'helm repo add'
